ID;Nome;Idade;Sexo;CPF;Prioridade;Atendido
PAC001;Sophie Peixoto;50;F;04732658938;1;0
PAC002;Beatriz Gomes;34;F;21475683090;4;0
PAC003;Nina Melo;39;F;78123694555;3;0
PAC004;Manuela Ferreira;75;F;08975362159;5;0
PAC005;Thomas Martins;18;M;13896470213;2;0
PAC006;Calebe Jesus;97;M;84192675382;5;0
PAC007;Ana Laura Nogueira;33;F;53416902734;3;0
PAC008;Ana Clara Carvalho;13;F;29067438103;3;0
PAC009;Eduarda da Rosa;61;F;96438201570;3;0
PAC010;Maria Sophia Melo;56;F;39052718423;5;0
PAC011;Benício Castro;82;M;23064578910;5;0
PAC012;Caroline Costa;62;F;61590743261;5;0
PAC013;Luana da Rocha;34;F;09648253765;5;0
PAC014;Fernanda Monteiro;2;F;62043798103;4;0
PAC015;Francisco Moraes;91;M;72360149822;5;0
PAC016;Noah Pires;64;M;20753496143;2;0
PAC017;Mirella Fernandes;94;F;28035796429;1;0
PAC018;Emilly Cunha;25;F;37542816900;2;0
PAC019;Sofia Peixoto;19;F;10352948779;1;0
PAC020;Rafaela Peixoto;11;F;06875913410;5;0
PAC021;Samuel da Cruz;63;M;78946051230;3;0
PAC022;Lucas Gabriel Barros;71;M;63195704234;1;0
PAC023;Enrico Alves;71;M;08179463222;5;0
PAC024;Ana Luiza Ribeiro;27;F;61023794896;4;0
PAC025;Davi Lucas Freitas;12;M;09815246720;3;0
PAC026;Maria Sales;74;F;76584193209;3;0
PAC027;Daniel da Costa;24;M;45862073965;2;0
PAC028;Gabriel da Cruz;5;M;24538190705;4;0
PAC029;Ana Beatriz Lima;9;F;28193647050;2;0
PAC030;Matheus Rocha;20;M;75803691410;1;0
PAC031;Isaac da Costa;90;M;26108745371;5;0
PAC032;Caio Novaes;36;M;89436715048;2;0
PAC033;Francisco da Cunha;87;M;63509782429;5;0
PAC034;Luiz Felipe Novaes;36;M;43061957243;4;0
PAC035;Isis Moreira;85;F;82143759673;1;0
PAC036;Luna Martins;42;F;79346105216;4;0
PAC037;Luiz Miguel da Conceição;76;M;42698307510;2;0
PAC038;Enzo Gabriel Costela;32;M;04963217570;3;0
PAC039;Luiz Miguel Santos;15;M;01853726435;3;0
PAC040;Vitória Nogueira;22;F;93057128432;4;0
PAC041;Luiz Felipe Ferreira;8;M;46873012904;2;0
PAC042;Gustavo Henrique Melo;90;M;09731682422;1;0
PAC043;Arthur Rezende;74;M;67083195277;1;0
PAC044;Giovanna Cavalcanti;16;F;85376042162;5;0
PAC045;Marina Mendes;74;F;14237098613;4;0
PAC046;Isadora da Mota;12;F;75106328462;1;0
PAC047;Bryan Santos;5;M;86401379278;2;0
PAC048;Ana Clara Castro;24;F;62093547180;4;0
PAC049;Bruno Moraes;27;M;19570246316;1;0
PAC050;João Guilherme Cardoso;70;M;92301645851;5;0
